provider,power,fuel,N
68.0,14.0,1.0,0.0
68.0,14.0,2.0,0.0
68.0,14.0,3.0,0.0
68.0,14.0,4.0,0.0
68.0,14.0,5.0,0.0
68.0,14.0,6.0,0.0
69.0,1.0,1.0,0.0
69.0,1.0,2.0,0.0
69.0,1.0,3.0,0.0
69.0,1.0,4.0,0.0
69.0,1.0,5.0,0.0
69.0,1.0,6.0,0.0
69.0,2.0,1.0,0.0
69.0,2.0,2.0,0.0
69.0,2.0,3.0,0.0
69.0,2.0,4.0,0.0
69.0,2.0,5.0,0.0
69.0,2.0,6.0,29.252385323447157
69.0,3.0,1.0,0.0
69.0,3.0,2.0,0.0
69.0,3.0,3.0,0.0
69.0,3.0,4.0,0.0
69.0,3.0,5.0,0.0
69.0,3.0,6.0,29.25539914151365
69.0,4.0,1.0,0.0
69.0,4.0,2.0,0.0
69.0,4.0,3.0,0.0
69.0,4.0,4.0,0.0
69.0,4.0,5.0,0.0
69.0,4.0,6.0,29.253004248319716
69.0,5.0,1.0,0.0
69.0,5.0,2.0,0.0
69.0,5.0,3.0,0.0
69.0,5.0,4.0,0.0
69.0,5.0,5.0,0.0
69.0,5.0,6.0,0.0
69.0,6.0,1.0,0.0
69.0,6.0,2.0,0.0
69.0,6.0,3.0,0.0
69.0,6.0,4.0,0.0
69.0,6.0,5.0,0.0
69.0,6.0,6.0,18.859043763665646
69.0,7.0,1.0,0.0
69.0,7.0,2.0,0.0
69.0,7.0,3.0,0.0
69.0,7.0,4.0,0.0
69.0,7.0,5.0,0.0
69.0,7.0,6.0,29.25243555078465
69.0,8.0,1.0,0.0
69.0,8.0,2.0,0.0
69.0,8.0,3.0,0.0
69.0,8.0,4.0,0.0
69.0,8.0,5.0,0.0
69.0,8.0,6.0,11.559628043317186
69.0,9.0,1.0,0.0
69.0,9.0,2.0,0.0
69.0,9.0,3.0,0.0
69.0,9.0,4.0,0.0
69.0,9.0,5.0,0.0
69.0,9.0,6.0,0.0
69.0,10.0,1.0,0.0
69.0,10.0,2.0,0.0
69.0,10.0,3.0,0.0
69.0,10.0,4.0,0.0
69.0,10.0,5.0,0.0
69.0,10.0,6.0,25.918304834869147
69.0,11.0,1.0,0.0
69.0,11.0,2.0,0.0
69.0,11.0,3.0,0.0
69.0,11.0,4.0,0.0
69.0,11.0,5.0,0.0
69.0,11.0,6.0,27.66182728826423
69.0,12.0,1.0,0.0
69.0,12.0,2.0,0.0
69.0,12.0,3.0,0.0
69.0,12.0,4.0,0.0
69.0,12.0,5.0,0.0
69.0,12.0,6.0,11.562630998352379
69.0,13.0,1.0,0.0
69.0,13.0,2.0,0.0
69.0,13.0,3.0,0.0
69.0,13.0,4.0,0.0
69.0,13.0,5.0,0.0
69.0,13.0,6.0,12.87508440020715
69.0,14.0,1.0,0.0
69.0,14.0,2.0,0.0
69.0,14.0,3.0,0.0
69.0,14.0,4.0,0.0
69.0,14.0,5.0,0.0
69.0,14.0,6.0,0.0
87.0,1.0,1.0,0.0
87.0,1.0,2.0,0.0
87.0,1.0,3.0,0.0
87.0,1.0,4.0,0.0
87.0,1.0,5.0,0.0
87.0,1.0,6.0,0.0
87.0,2.0,1.0,0.0
87.0,2.0,2.0,0.0
87.0,2.0,3.0,0.0
87.0,2.0,4.0,0.0
87.0,2.0,5.0,0.0
87.0,2.0,6.0,3.0378759772821624
87.0,3.0,1.0,0.0
87.0,3.0,2.0,0.0
87.0,3.0,3.0,0.0
